original_column,original_row,Gene,column,row,q,target
12,8,YFL010C,24,15,B,Sho1
12,9,YOR035C,24,17,B,Sho1
12,10,YBR130C,24,19,B,Sho1
12,11,YDR388W,24,21,B,Sho1
12,12,YHR114W,24,23,B,Sho1
12,13,YMR216C,24,25,B,Sho1
12,14,YBR053C,24,27,B,Sho1
12,15,YIR006C,24,29,B,Sho1
12,16,border,24,31,B,Sho1
13,1,border,26,1,B,Sho1
13,2,YJL164C,26,3,B,Sho1
13,3,YKL013C,26,5,B,Sho1
13,4,YOR035C,26,7,B,Sho1
13,5,YLR144C,26,9,B,Sho1
13,6,YBL007C,26,11,B,Sho1
13,7,YDR265W,26,13,B,Sho1
13,8,YML035C,26,15,B,Sho1
13,9,YGL242C,26,17,B,Sho1
13,10,YGL197W,26,19,B,Sho1
13,11,YOR229W,26,21,B,Sho1
13,12,YFL010C,26,23,B,Sho1
13,13,YMR026C,26,25,B,Sho1
13,14,YLR166C,26,27,B,Sho1
13,15,YIR006C,26,29,B,Sho1
13,16,border,26,31,B,Sho1
14,1,border,28,1,B,Sho1
14,2,YJL210W,28,3,B,Sho1
14,3,YER149C,28,5,B,Sho1
14,4,YGL099W,28,7,B,Sho1
14,5,YKL117W,28,9,B,Sho1
14,6,YBL017C,28,11,B,Sho1
14,7,YER118C,28,13,B,Sho1
14,8,YGR250C,28,15,B,Sho1
14,9,YGR238C,28,17,B,Sho1
14,10,YLR436C,28,19,B,Sho1
14,11,YLR324W,28,21,B,Sho1
14,12,YKL054C,28,23,B,Sho1
14,13,YLR166C,28,25,B,Sho1
14,14,YBR177C,28,27,B,Sho1
14,15,YGR229C,28,29,B,Sho1
14,16,border,28,31,B,Sho1
15,1,border,30,1,B,Sho1
15,2,YLL048C,30,3,B,Sho1
15,3,YGR037C,30,5,B,Sho1
15,4,YGR037C,30,7,B,Sho1
15,5,YKL013C,30,9,B,Sho1
15,6,YLR119W,30,11,B,Sho1
15,7,YDL226C,30,13,B,Sho1
